,Unnamed: 0,Time,Tweet,User,Location,Retweets,Likes,sentiment
0,0,2022-11-23 23:58:30+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,JansInput,,13,0,1
1,1,2022-11-23 23:56:22+00:00,"RT @JHeslet: @marceelias JD Vance, Josh Hawley, Oz &amp; Herschel Walker.  4 Republicans that have been allowed to ignore our Constitution &amp; ru…",Oldword16,Here,57,0,1
2,2,2022-11-23 23:55:08+00:00,"RT @sarahkateellis: Raymond Green Vance (he/him)
Kelly Loving (she/her)
Daniel Aston (he/him)
Derrick Rump (he/him)
Ashley Paugh (she/ her)…",jd_perspective,"Orlando, FL",31,0,1
3,3,2022-11-23 23:48:15+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,ColleenPaige1,,13,0,1
4,4,2022-11-23 23:47:53+00:00,"@Roslynbooks @marceelias jd vance too, i think.",dbaerwald1,"MA, CA, WA, NY, MN, GA.",0,2,1
5,5,2022-11-23 23:44:20+00:00,"RT @JHeslet: @marceelias JD Vance, Josh Hawley, Oz &amp; Herschel Walker.  4 Republicans that have been allowed to ignore our Constitution &amp; ru…",BlazerJane,"Land of Deplorables, OH ",57,0,1
6,6,2022-11-23 23:40:20+00:00,"RT @JHeslet: @marceelias JD Vance, Josh Hawley, Oz &amp; Herschel Walker.  4 Republicans that have been allowed to ignore our Constitution &amp; ru…",ae4ca,"Brooklyn, NY",57,0,1
7,7,2022-11-23 23:38:13+00:00,"RT @JHeslet: @marceelias JD Vance, Josh Hawley, Oz &amp; Herschel Walker.  4 Republicans that have been allowed to ignore our Constitution &amp; ru…",Praise_the_Gord,"Kansas City, MO",57,0,1
8,8,2022-11-23 23:36:57+00:00,"@4ArTess12 Yes.
Republicans have a systematic campaign to demonize Ukraine and to normalize the idea that Russia is really not so bad. Tucker Carlson has been doing that for a long time, and recently Gabbard, Gaetz, JD Vance, Gosar, Greene, and others have been doing Russia's bidding.",RinoWag,"Sacramento, CA",0,1,0
9,9,2022-11-23 23:33:29+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,BeccaRay91,,13,0,1
10,10,2022-11-23 23:33:27+00:00,"Vance writes rather frantically. In his op-ed, Vance, says that money is to blame! Money is the REAL culprit in the disappointing midterms of the GOP. He blames ActBlue. He blames small democratic donors. He blames everything and everyone — except Trump.
https://t.co/IDi2bDEQzR",1stSvelteCelt,#Blue Florida Super Follower ,0,1,0
11,11,2022-11-23 23:30:42+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,BarneyRCN,,13,0,1
12,12,2022-11-23 23:27:12+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,BonnieNeilHays,,13,0,1
13,13,2022-11-23 23:25:29+00:00,"@marceelias JD Vance, Josh Hawley, Oz &amp; Herschel Walker.  4 Republicans that have been allowed to ignore our Constitution &amp; run for office in the state they do not even claim as their primary residence.  If they voted for themselves in those states is that voter fraud ?  Hmmm. It should be.",JHeslet,Michigan,57,138,0
14,14,2022-11-23 23:25:26+00:00,"..ABA/law-schools eliminate standardized tests (Weekly Reader puzzles would winnow out 30%+ of judges), the disaster will compound. The US Royal Class (certified as fact by Tucker Carlson &amp; JD Vance, and they are right) was supposedly eliminated in 1776. MAGeeky is the weapon now https://t.co/Qd273ISvhz",MakeUSAgeekyAgn,"Nouns:CousinItt/Thankyou,Thing",0,0,0
15,15,2022-11-23 23:24:33+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,beth_kania,,13,0,1
16,16,2022-11-23 23:11:12+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,StarGal065,,13,0,1
17,17,2022-11-23 23:09:16+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,sheeda418,"Los Angeles, CA",13,0,1
18,18,2022-11-23 23:08:55+00:00,"Land Grant will also have it on and they don’t host fundraisers for JD Vance…

Just saying. https://t.co/0wcndhKzkw",itsmeCodyD,"Ohio, USA",0,1,1
19,19,2022-11-23 23:04:15+00:00,"RT @capitolhunters: Thiel’s neo-fascist set
How does your anti-elite pose square with your pathetic degree-grubbing? Thiel’s lapdog JD Vanc…",jo4twenty,"Washington,dc area",584,0,1
20,20,2022-11-23 23:02:59+00:00,@FrannyWild @marceelias Cannot believe I would neglect to include JD Vance. He would make 4.,peterdavio,"ÜT: 34.963709,-78.947556",1,83,0
21,21,2022-11-23 23:02:52+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,skcalab,"New York, USA",13,0,1
22,22,2022-11-23 22:57:36+00:00,RT @clobberintime27: @FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,Tangela590,,13,0,1
23,23,2022-11-23 22:54:08+00:00,@FrankGuidry9 @marceelias See also JD Vance and Dr. Oz.,clobberintime27,The Comic shop...,13,422,1
24,24,2022-11-23 22:36:46+00:00,"I lost the election last time now let me spend half the time explaining my thought process how it was unfair

Meanwhile you have DeSantis, Kemp, &amp; Youngkin… (3 swing states) each of whom won big (only ones except JD Vance but that’s Ohio) &amp; also got dissed by Trump the next day",TheFalconDive,,0,0,0
25,25,2022-11-23 22:33:35+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,PatriciaBuress,,79,0,1
